nExp, Time,   ID,       F 0,       F 1 
   0,    1,    0,     0.000,    63.285,    -1
   0,    1,    1,     0.000,    25.020,    -1
   0,    2,    0,     0.000,    57.219,    -1
   0,    2,    1,     0.000,    19.026,    -1
   0,    3,    0,     0.000,    52.240,    -5
   0,    3,    1,     0.000,    14.036,    -1
   0,    4,    0,     1.000,    46.174,    -5
   0,    4,    1,     0.000,     8.062,    -1
   0,    5,    0,     1.000,    41.195,    -5
   0,    5,    1,     0.000,     3.162,    -1
   0,    6,    0,     1.000,    35.128,    -5
   0,    6,    1,     0.000,     2.236,    -1
   0,    7,    0,     1.000,    29.155,    -5
   0,    7,    1,     0.000,     7.071,    -1
   0,    8,    0,     1.000,    23.195,    -5
   0,    8,    1,     0.000,    12.042,    -1
   0,    9,    0,     1.000,    17.263,    -5
   0,    9,    1,     0.000,    18.028,    -1
   0,   10,    0,     1.000,    11.180,    -5
   0,   10,    1,     0.000,    24.021,    -1
   1,    0,    0,     1.000,     5.385,    -5
   1,    0,    1,     0.000,    30.017,    -1
   1,    1,    0,     0.000,    47.265,    -5
   1,    1,    1,     0.000,    56.321,    -1
   1,    2,    0,     1.000,    41.195,    -5
   1,    2,    1,     0.000,    50.249,    -5
   1,    3,    0,     1.000,    35.128,    -5
   1,    3,    1,     1.000,    44.181,    -5
   1,    4,    0,     1.000,    30.150,    -5
   1,    4,    1,     1.000,    38.118,    -5
   1,    5,    0,     1.000,    24.331,    -5
   1,    5,    1,     1.000,    32.062,    -5
   1,    6,    0,     1.000,    19.416,    -1
   1,    6,    1,     1.000,    26.019,    -5
   1,    7,    0,     0.000,    13.928,    -1
   1,    7,    1,     1.000,    20.000,    -5
   1,    8,    0,     0.000,     9.434,    -1
   1,    8,    1,     1.000,    14.000,    -5
   1,    9,    0,     0.000,     6.325,    -1
   1,    9,    1,     1.000,     8.000,    -5
   1,   10,    0,     0.000,     6.708,    -1
   1,   10,    1,     1.000,     2.000,    -1
   2,    0,    0,     0.000,    10.000,    -1
   2,    0,    1,     0.000,     4.123,    -1
   2,    1,    0,     0.000,    41.012,    -1
   2,    1,    1,     0.000,    58.310,    -1
   2,    2,    0,     0.000,    35.014,    -1
   2,    2,    1,     0.000,    52.345,    -1
   2,    3,    0,     0.000,    30.017,    -1
   2,    3,    1,     0.000,    46.390,    -1
   2,    4,    0,     0.000,    24.021,    -1
   2,    4,    1,     0.000,    40.447,    -1
   2,    5,    0,     0.000,    19.026,    -1
   2,    5,    1,     0.000,    34.525,    -1
   2,    6,    0,     0.000,    13.038,    -1
   2,    6,    1,     0.000,    28.636,    -1
   2,    7,    0,     0.000,     8.062,    -1
   2,    7,    1,     0.000,    22.804,    -1
   2,    8,    0,     0.000,     2.236,    -1
   2,    8,    1,     0.000,    17.088,    -1
   2,    9,    0,     0.000,     4.123,    -1
   2,    9,    1,     0.000,    11.662,    -1
   2,   10,    0,     0.000,    10.050,    -1
   2,   10,    1,     0.000,     7.211,    -1
   3,    0,    0,     0.000,    16.031,    -1
   3,    0,    1,     0.000,     6.325,    -1
   3,    1,    0,     0.000,    49.010,    -1
   3,    1,    1,     0.000,    40.311,    -1
   3,    2,    0,     0.000,    44.011,    -1
   3,    2,    1,     0.000,    34.366,    -1
   3,    3,    0,     0.000,    38.013,    -1
   3,    3,    1,     0.000,    28.443,    -1
   3,    4,    0,     0.000,    33.015,    -1
   3,    4,    1,     0.000,    22.561,    -1
   3,    5,    0,     0.000,    27.019,    -1
   3,    5,    1,     0.000,    16.763,    -1
   3,    6,    0,     0.000,    22.023,    -1
   3,    6,    1,     0.000,    11.180,    -1
   3,    7,    0,     0.000,    16.031,    -1
   3,    7,    1,     0.000,     6.403,    -1
   3,    8,    0,     0.000,    11.045,    -1
   3,    8,    1,     0.000,     5.385,    -1
   3,    9,    0,     0.000,     6.083,    -1
   3,    9,    1,     0.000,     9.434,    -1
   3,   10,    0,     0.000,     1.414,   295
   3,   10,    1,     0.000,    14.866,    -1
   4,    0,    0,     0.000,     1.414,    -5
   4,    0,    1,     0.000,    14.866,    -1
   4,    1,    0,     0.000,    60.299,    -1
   4,    1,    1,     0.000,    59.304,    -1
   4,    2,    0,     0.000,    54.332,    -1
   4,    2,    1,     0.000,    53.339,    -1
   4,    3,    0,     0.000,    48.260,    -1
   4,    3,    1,     0.000,    47.381,    -1
   4,    4,    0,     0.000,    42.297,    -5
   4,    4,    1,     0.000,    41.437,    -1
   4,    5,    0,     1.000,    36.222,    -5
   4,    5,    1,     0.000,    35.511,    -1
   4,    6,    0,     1.000,    30.265,    -5
   4,    6,    1,     0.000,    29.614,    -1
   4,    7,    0,     1.000,    24.187,    -5
   4,    7,    1,     0.000,    23.770,    -1
   4,    8,    0,     1.000,    18.248,    -5
   4,    8,    1,     0.000,    18.028,    -1
   4,    9,    0,     1.000,    12.166,    -5
   4,    9,    1,     0.000,    12.530,    -1
