simTime, rand 
      1,    4 
      1,    9 
      2,   10 
      2,    8 
      3,    6 
      3,    2 
      4,    5 
      4,    7 
      5,   11 
      5,   11 
      6,    6 
      6,   10 
      7,    3 
      7,    9 
      8,    7 
      8,    1 
      9,    8 
      9,    5 
     10,   10 
     10,    8 
     11,    1 
     11,    6 
      1,    2 
      1,   10 
      2,    9 
      2,    3 
      3,    6 
      3,    5 
      4,    8 
      4,    9 
      5,    2 
      5,    1 
      6,   10 
      6,    5 
      7,    9 
      7,    1 
      8,    5 
      8,    8 
      9,    3 
      9,   11 
     10,   10 
     10,    1 
     11,    1 
     11,    6 
      1,   11 
      1,   11 
      2,    1 
      2,    1 
      3,   10 
      3,    9 
      4,    8 
      4,    4 
      5,    7 
      5,    7 
