nExp, Time,  AVy,  A0x,  A0y 
   0,    0,    0,   11,   63
   0,    1,    0,   11,   62
   0,    2,    6,   11,   61
   0,    3,   12,   11,   60
   0,    4,   18,   11,   59
   0,    5,   24,   11,   58
   0,    6,   30,   11,   57
   0,    7,   36,   11,   56
   0,    8,   42,   11,   55
   0,    9,   48,   11,   54
   0,   10,   54,   11,   53
   0,   11,   60,   11,   52
   0,    1,    0,    1,   25
   1,    1,    1,    1,   24
   1,    2,    7,    1,   23
   1,    3,   13,    1,   22
   1,    4,   19,    1,   21
   1,    5,   25,    1,   20
   1,    6,   31,    1,   19
