simTime, rand 
      1,    3 
      2,   11 
      3,    3 
      4,    3 
      5,    2 
      6,    8 
      7,    7 
      8,    6 
      9,    7 
     10,   11 
     11,   10 
      1,    2 
      2,   10 
      3,    9 
      4,    3 
      5,    6 
      6,    5 
      7,    8 
      8,    9 
      9,    2 
     10,    1 
     11,   10 
      1,   11 
      2,   11 
      3,    1 
      4,    1 
      5,   10 
      6,    9 
      7,    8 
      8,    4 
      1,    3 
      2,    6 
      3,    5 
      4,    7 
      5,    7 
      6,    1 
      7,    1 
      8,   10 
      9,    3 
     10,    3 
     11,   11 
      1,    3 
      2,    2 
      3,    5 
      4,    2 
      5,    1 
      6,    5 
      1,    7 
      2,    9 
      3,    9 
      4,   11 
      5,    9 
      6,   11 
      7,    1 
      8,    6 
      9,   11 
     10,    8 
     11,   10 
      1,    9 
      2,   10 
      3,    6 
      4,    3 
      5,    1 
      6,    8 
      7,    6 
      8,    9 
