nExp, Time,   ID,       F 0,       F 1 
   0,    1,    0,     0.000,     0.158,    -1
   0,    1,    1,     0.000,     0.400,    -1
   0,    2,    0,     0.000,     0.174,    -1
   0,    2,    1,     0.000,     0.526,    -1
   0,    3,    0,     0.000,     0.195,    -1
   0,    3,    1,     0.000,     0.767,    -1
   0,    4,    0,     0.000,     0.220,    -1
   0,    4,    1,     0.000,     1.414,    -1
   0,    5,    0,     0.000,     0.253,    -1
   0,    5,    1,     0.000,     7.071,    -1
   0,    6,    0,     0.000,     0.300,    -5
   0,    6,    1,     0.000,     1.961,    -1
   0,    7,    0,     1.000,     0.366,    -5
   0,    7,    1,     0.000,     0.905,    -1
   0,    8,    0,     1.000,     0.471,    -5
   0,    8,    1,     0.000,     0.587,    -1
   0,    9,    0,     1.000,     0.661,    -5
   0,    9,    1,     0.000,     0.434,    -1
   0,   10,    0,     1.000,     1.104,    -5
   0,   10,    1,     0.000,     0.345,    -1
   0,   11,    0,     1.000,     3.333,   995
   0,   11,    1,     0.000,     0.286,    -1
   1,    0,    0,     1.000,     3.333,    -5
   1,    0,    1,     0.000,     0.286,    -1
   1,    1,    0,     0.000,     0.221,    -1
   1,    1,    1,     0.000,     0.184,    -1
   1,    2,    0,     0.000,     0.254,    -1
   1,    2,    1,     0.000,     0.207,    -1
   1,    3,    0,     0.000,     0.300,    -1
   1,    3,    1,     0.000,     0.236,    -1
   1,    4,    0,     0.000,     0.364,    -1
   1,    4,    1,     0.000,     0.274,    -1
   1,    5,    0,     0.000,     0.463,    -1
   1,    5,    1,     0.000,     0.327,    -1
   1,    6,    0,     0.000,     0.632,    -1
   1,    6,    1,     0.000,     0.404,    -1
   1,    7,    0,     0.000,     0.971,    -1
   1,    7,    1,     0.000,     0.527,    -1
   1,    8,    0,     0.000,     1.715,    -1
   1,    8,    1,     0.000,     0.745,    -1
   1,    9,    0,     0.000,     1.715,    -1
   1,    9,    1,     0.000,     1.179,    -1
   1,   10,    0,     0.000,     0.971,    -1
   1,   10,    1,     0.000,     1.667,    -1
   2,    0,    0,     0.000,     0.632,    -1
   2,    0,    1,     0.000,     1.179,    -1
   2,    1,    0,     0.000,     0.256,    -1
   2,    1,    1,     0.000,     0.178,    -1
   2,    2,    0,     0.000,     0.303,    -1
   2,    2,    1,     0.000,     0.199,    -5
   2,    3,    0,     0.000,     0.370,    -1
   2,    3,    1,     1.000,     0.226,    -5
   2,    4,    0,     0.000,     0.476,    -1
   2,    4,    1,     1.000,     0.262,    -5
   2,    5,    0,     0.000,     0.665,    -1
   2,    5,    1,     1.000,     0.312,    -5
   2,    6,    0,     0.000,     1.104,    -1
   2,    6,    1,     1.000,     0.384,    -5
   2,    7,    0,     0.000,     3.162,    -1
   2,    7,    1,     1.000,     0.500,    -5
   2,    8,    0,     0.000,     3.162,    -1
   2,    8,    1,     1.000,     0.714,    -5
