nExp, Time,  AVy,  A0x,  A0y,  A1x,  A1y 
   0,    0,    0,   11,   63,    1,   25
   0,    1,    0,    1,   24
   0,    2,    6,    1,   23
   0,    3,   12,    1,   22
   0,    4,   18,    1,   21
   0,    5,   24,    1,   20
   0,    6,   30,    1,   19
   0,    7,   36,    1,   18
   0,    8,   42,    2,   18
   0,    9,   48,    3,   18
   0,   10,   54,    4,   18
   0,   11,   60,    5,   18
   0,    1,    0,   10,   48,   11,   57
   1,    1,    1,   11,   56
   1,    2,    7,   11,   55
   1,    3,   13,   11,   54
   1,    4,   19,   11,   53
   1,    5,   25,   10,   53
   1,    6,   31,    9,   53
   1,    7,   37,    8,   53
   1,    8,   43,    7,   53
   1,    9,   49,    6,   53
   1,   10,   55,    5,   53
   1,   11,   61,    4,   53
   0,    2,    0,    1,   43,   11,   60
   2,    1,    2,   11,   59
   2,    2,    8,   10,   59
   2,    3,   14,    9,   59
   2,    4,   20,    8,   59
   2,    5,   26,    7,   59
